pinyin	verb	id
cong-xiao-dai-da	从小带大	0582
cou-jin	凑近	0583
cu	粗	0584
cu-fang	粗放	0585
cu-cheng	簇成	0586
cu	促	0587
cu-cheng	促成	0588
cu-jin	促进	0589
cu-shi	促使	0590
cui	催	0591
cui-ruo	脆弱	0592
cun	存	0593
cun-fang	存放	0594
cun-huo	存活	0595
cun-kuan	存款	0596
cun-ru	存入	0597
cun-zai	存在	0598
cuo-bai	挫败	0599
cuo	错	0600
cuo-wu	错误	0601
cuo-zong-fu-za	错综复杂	0602
da-cheng	搭乘	0603
da-jian	搭建	0604
da-shang	搭上	0605
da	达	0606
da-biao	达标	0607
da-cheng	达成	0608
da-dao	达到	0609
da-zhi	达致	0610
da	答	0611
da-fu	答复	0612
da-ying	答应	0613
da	打	0614
da-bai	打败	0615
da-ban	打扮	0616
da-chu	打出	0617
da-duan	打断	0618
da-fan	打翻	0619
da-fei	打非	0620
da-gong	打工	0621
da-gun	打滚	0622
da-hao	打好	0623
da-ji	打击	0624
da-jia-qiu	打假球	0625
da-jiao-dao	打交道	0626
da-jin	打进	0627
da-kai	打开	0628
da-lai	打来	0629
da-man	打满	0630
da-po	打破	0631
da-ru	打入	0632
da-shang	打伤	0633
da-si	打死	0634
da-suan	打算	0635
da-xia	打下	0636
da-xiao	打消	0637
da-ying	打嬴	0638
da	大	0639
da-bai	大败	0640
da-bai-yu	大败于	0641
da-cuo-te-cuo	大错特错	0642
da-gong-gao-cheng	大功告成	0643
da-guo	大过	0644
da-huo-bu-jie	大惑不解	0645
da-jing-xiao-guai	大惊小怪	0646
da-ming-ding-ding	大名鼎鼎	0647
da-qi-da-luo	大起大落	0648
da-shi-suo-qu	大势所趋	0649
da-tong-xiao-yi	大同小异	0650
da-wan	大碗	0651
da-xiang-jing-ting	大相迳庭	0652
da-xing-tu-mu	大兴土木	0653
da-you-ke-wei	大有可为	0654
da-yu	大于	0655
da-zheng	大增	0656
da-yu	大於	0657
dai	戴	0658
dai	带	0659
dai-dong	带动	0660
dai-dong-qi	带动起	0661
dai-hao	带好	0662
dai-jin	带进	0663
dai-lai	带来	0664
dai-ling	带领	0665
dai-ru	带入	0666
dai-shang	带上	0667
dai-tou	带头	0668
dai-you	带有	0669
dai	代	0670
dai-biao	代表	0671
dai-li	代理	0672
dai-ti	代替	0673
dai-kuan	贷款	0674
dai	待	0675
dai-ming	待命	0676
dai-bu	逮捕	0677
dan-wu	耽误	0678
dan	担	0679
dan-bao	担保	0680
dan-dang	担当	0681
dan-fu	担负	0682
dan-ren	担任	0683
dan-xin	担心	0684
dan-you	担忧	0685
dan-chun	单纯	0686
dan-da-du-dou	单打独斗	0687
dan-yi	单一	0688
dan-bo	淡薄	0689
dan-hua	淡化	0690
dan-wang	淡忘	0691
dan-sheng	诞生	0692
tan-xing	弹性	0693
dang	当	0694
dang-hao	当好	0695
dang-jia	当家	0696
dang-qi	当起	0697
dang-xuan	当选	0698
dang-zuo	当做	0699
dang-zuo	当作	0700
dang	挡	0701
dao-hui	捣毁	0702
dao	蹈	0703
dao	倒	0704
dao-bi	倒闭	0705
dao-guan	倒灌	0706
dao-xia	倒下	0707
dao-zhi	导致	0708
dao	到	0709
dao-chang	到场	0710
dao-da	到达	0711
dao-fang	到访	0712
dao-lai	到来	0713
dao-qi	到期	0714
dao-qi	到齐	0715
dao-ren	到任	0716
dao-wei	到位	0717
dao-zi	到资	0718
dao-nian	悼念	0719
dao	道	0720
dao-bie	道别	0721
